State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 0.135671 	 7.755153 
( 0,  1) 	 0.813739 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 9.353909 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 10.423043 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 12.924904 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 12.510115 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 1.109593 	 0.000000 	 8.229864 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 9.180424 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 9.382886 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 7.924755 	 0.877292 
( 1,  4) 	 0.000000 	 0.000000 	 7.983644 	 0.000000 
( 1,  5) 	 -0.458177 	 8.361082 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 5.215392 	 6.013869 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 8.817801 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 1.013232 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 9.025269 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 14.823370 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 6.169551 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 5.490860 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 5.592166 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 5.449719 	 0.000000 
( 3,  6) 	 0.000000 	 0.000000 	 8.292462 	 0.000000 
( 3,  7) 	 0.000000 	 2.104395 	 5.103073 	 0.000000 
( 3,  8) 	 0.000000 	 13.856758 	 0.000000 	 0.000000 
( 3,  9) 	 9.769572 	 1.687097 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.878198 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 1.012930 	 0.000000 
