State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.690000 	 0.000000 	 0.000000 	 1.000000 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135335 
( 1,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 -0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 14.312143 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 -0.122406 
( 3,  4) 	 -0.099149 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000335 	 0.000000 	 0.000000 
( 3,  6) 	 -0.000000 	 4.665822 	 9.355500 	 1.588978 
( 3,  7) 	 0.000000 	 4.998700 	 10.161547 	 0.000000 
( 3,  8) 	 0.000000 	 13.588830 	 0.000000 	 0.000000 
( 3,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 1.135671 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  3) 	 0.000000 	 0.000000 	 0.000000 	 -0.688102 
