State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -1.590000 	 0.000000 	 4.515575 	 0.000000 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 4.914459 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 -2.386466 	 8.934359 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 10.118012 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 10.870016 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 11.812274 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 5.634414 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 6.415366 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 7.001651 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 7.390705 	 0.000000 
( 1,  5) 	 0.000000 	 8.116812 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 5.000000 	 0.000000 	 0.000000 	 -0.060716 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 9.141800 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 4.253506 	 -0.500000 	 -0.061052 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  6) 	 0.000000 	 0.000000 	 4.305329 	 0.000000 
( 3,  7) 	 0.000000 	 0.000000 	 5.062552 	 0.000000 
( 3,  8) 	 0.000000 	 5.853520 	 0.000000 	 0.000000 
( 3,  9) 	 0.000000 	 -0.201494 	 -0.499665 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
