State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 0.039795 	 9.635593 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 2.794728 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 13.984878 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 14.454347 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 0.000000 	 14.730487 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 10.734902 	 0.000000 
( 1,  1) 	 0.000000 	 0.000000 	 11.839725 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 12.252390 	 1.760029 
( 1,  3) 	 -0.626088 	 0.000000 	 12.725441 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 12.717632 	 0.000000 
( 1,  5) 	 0.000000 	 12.256364 	 2.090970 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 3.704994 	 0.049424 	 15.979246 	 8.672678 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 13.016452 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 5.032522 	 12.034801 	 5.442980 	 0.000000 
( 2,  8) 	 0.000000 	 13.630307 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 12.744092 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 4.708622 	 0.000000 
( 3,  6) 	 0.000000 	 3.796765 	 16.258169 	 2.863522 
( 3,  7) 	 0.000000 	 14.837288 	 1.677230 	 2.904262 
( 3,  8) 	 0.000000 	 2.989954 	 -0.741907 	 -0.500000 
