State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 0.000000 	 2.534019 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 0.000000 	 0.000000 	 1.000336 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 0.891765 	 0.000000 
( 0,  7) 	 0.000000 	 0.000000 	 1.271006 	 0.000000 
( 0,  8) 	 0.000000 	 0.000000 	 0.000000 	 5.878198 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 2.631514 
( 1,  1) 	 0.000000 	 0.000000 	 0.878534 	 0.000000 
( 1,  2) 	 0.000000 	 0.000000 	 1.135335 	 0.000000 
( 1,  3) 	 0.000000 	 0.000000 	 1.013601 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 1.013299 	 0.000000 
( 1,  5) 	 0.000000 	 0.999698 	 0.000000 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 5.877594 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 2.464442 	 0.148936 
( 2,  1) 	 0.000000 	 1.135369 	 0.000000 	 2.858189 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 1.271006 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 12.364963 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.013601 
( 3,  1) 	 0.000000 	 1.399417 	 0.000000 	 3.009561 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 4.678828 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 5.347387 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 6.077880 	 0.000000 
( 3,  6) 	 1.078873 	 0.000000 	 0.000000 	 6.160029 
( 3,  7) 	 0.000000 	 0.891765 	 0.000000 	 0.000000 
( 3,  8) 	 1.148567 	 11.380647 	 0.000000 	 0.000000 
( 3,  9) 	 12.219337 	 0.000000 	 0.000000 	 0.000000 
( 4,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000775 
( 4,  1) 	 0.000000 	 1.333171 	 3.182798 	 0.000000 
( 4,  2) 	 1.288354 	 0.000000 	 3.987595 	 0.000000 
( 4,  3) 	 0.000000 	 4.065590 	 0.102467 	 0.000000 
( 4,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  6) 	 0.000000 	 0.000000 	 0.000000 	 6.794029 
( 4,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 4,  9) 	 0.000000 	 11.701386 	 0.000000 	 0.000000 
( 5,  0) 	 0.000000 	 -0.000151 	 2.101509 	 0.000000 
( 5,  1) 	 -0.090018 	 0.000000 	 3.263978 	 -0.499665 
( 5,  2) 	 0.000000 	 2.609017 	 0.000000 	 0.000000 
( 5,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 5,  6) 	 0.000000 	 0.000000 	 7.525584 	 0.000000 
( 5,  7) 	 0.000000 	 0.000000 	 8.792517 	 0.000000 
( 5,  8) 	 0.000000 	 0.000000 	 11.074945 	 0.000000 
( 5,  9) 	 3.406555 	 10.990780 	 2.711813 	 -0.122104 
( 6,  0) 	 0.000000 	 2.128519 	 0.000000 	 0.000000 
( 6,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 6,  8) 	 0.000000 	 8.073149 	 0.000000 	 0.000000 
( 6,  9) 	 1.522711 	 0.000000 	 0.000000 	 0.000000 
( 7,  0) 	 0.000000 	 1.929416 	 0.000000 	 0.000000 
( 7,  1) 	 2.024838 	 0.000000 	 0.000000 	 0.000000 
( 7,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  5) 	 0.000000 	 0.000000 	 4.695176 	 0.000000 
( 7,  6) 	 0.000000 	 0.000000 	 0.000000 	 5.084688 
( 7,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 7,  8) 	 0.000000 	 7.631615 	 0.000000 	 0.000000 
( 7,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  1) 	 0.000000 	 1.632605 	 0.000000 	 0.000000 
( 8,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 8,  6) 	 0.000000 	 0.000000 	 5.777496 	 0.000000 
( 8,  7) 	 0.000000 	 0.000000 	 6.257115 	 0.000000 
( 8,  8) 	 0.000000 	 6.777675 	 0.000000 	 0.000000 
( 8,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  0) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  1) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 9,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
