State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 -0.00 	 -0.00 	 -0.54 	 -6.27 
( 0,  1) 	 -0.00 	 -0.00 	 -0.82 	 -0.82 
( 0,  2) 	 -0.27 	 -0.54 	 -1.63 	 -1.36 
( 0,  3) 	 -2.81 	 -0.82 	 -3.63 	 -5.09 
( 0,  4) 	 -3.09 	 -3.09 	 -4.71 	 -3.63 
( 0,  5) 	 -2.54 	 -8.17 	 -11.63 	 -8.82 
( 0,  6) 	 -2.27 	 -0.82 	 -9.90 	 -1.63 
( 0,  7) 	 -1.35 	 -0.00 	 -5.90 	 -4.27 
( 0,  8) 	 -0.01 	 -0.00 	 -0.55 	 -0.54 
( 0,  9) 	 -0.81 	 -0.00 	 -0.00 	 -0.27 
( 1,  0) 	 -0.00 	 -0.00 	 -4.82 	 -3.09 
( 1,  1) 	 -0.00 	 -0.81 	 -7.90 	 -1.09 
( 1,  2) 	 -0.54 	 -4.54 	 -12.17 	 -6.81 
( 1,  3) 	 -4.81 	 -5.63 	 -13.25 	 -7.63 
( 1,  4) 	 -5.08 	 -4.98 	 -10.17 	 -1.63 
( 1,  5) 	 -1.09 	 -15.63 	 -4.45 	 -5.36 
( 1,  6) 	 -1.36 	 -1.90 	 -2.17 	 -0.82 
( 1,  7) 	 -8.00 	 -0.00 	 -6.54 	 -2.81 
( 1,  8) 	 -1.89 	 -0.00 	 -0.81 	 -0.54 
( 1,  9) 	 -6.00 	 -0.54 	 -0.00 	 -2.27 
( 2,  0) 	 -0.00 	 -0.27 	 -0.54 	 -2.54 
( 2,  1) 	 -0.00 	 -2.27 	 -0.82 	 -0.27 
( 2,  2) 	 -0.00 	 -1.63 	 -1.90 	 -1.09 
( 2,  3) 	 -1.09 	 -7.36 	 -5.63 	 -2.82 
( 2,  4) 	 -2.81 	 -3.63 	 -3.63 	 -0.55 
( 2,  5) 	 -2.27 	 -6.44 	 -0.55 	 -2.82 
( 2,  6) 	 -0.55 	 -0.55 	 -0.01 	 -0.54 
( 2,  7) 	 -1.35 	 -0.00 	 -0.81 	 -2.54 
( 2,  8) 	 -0.01 	 -0.54 	 -0.00 	 -0.54 
( 2,  9) 	 -0.81 	 -4.54 	 -0.00 	 -2.81 
( 3,  0) 	 -0.00 	 -0.27 	 -0.00 	 -2.54 
( 3,  1) 	 -0.00 	 -2.54 	 -0.00 	 -0.27 
( 3,  2) 	 -0.27 	 -0.82 	 -0.28 	 -0.00 
( 3,  3) 	 -2.00 	 -5.09 	 -0.55 	 -0.27 
( 3,  4) 	 -0.54 	 -1.09 	 -0.27 	 -0.27 
( 3,  5) 	 -0.54 	 -2.55 	 -0.00 	 -2.54 
( 3,  6) 	 -2.27 	 -0.27 	 -0.00 	 -0.54 
( 3,  7) 	 -2.27 	 -0.00 	 -0.00 	 -2.27 
( 3,  8) 	 -0.27 	 -0.54 	 -0.00 	 -0.81 
( 3,  9) 	 -0.00 	 -5.35 	 -0.00 	 -4.54 
( 4,  0) 	 -0.00 	 -0.27 	 -0.00 	 -2.54 
( 4,  1) 	 -0.00 	 -2.54 	 -0.27 	 -0.27 
( 4,  2) 	 -0.27 	 -0.82 	 -2.27 	 -0.00 
( 4,  3) 	 -0.54 	 -2.54 	 -0.27 	 -0.00 
( 4,  4) 	 -0.00 	 -0.27 	 -0.00 	 -0.27 
( 4,  5) 	 -0.00 	 -0.27 	 -0.27 	 -2.27 
( 4,  6) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 4,  7) 	 -0.27 	 -0.00 	 -0.27 	 -0.27 
( 4,  8) 	 -0.00 	 -0.81 	 -0.27 	 -0.27 
( 4,  9) 	 -0.00 	 -7.08 	 -0.00 	 -2.81 
( 5,  0) 	 -0.00 	 -0.27 	 -0.27 	 -2.54 
( 5,  1) 	 -0.27 	 -2.54 	 -0.27 	 -0.27 
( 5,  2) 	 -2.27 	 -2.82 	 -2.54 	 -0.00 
( 5,  3) 	 -2.27 	 -0.54 	 -0.27 	 -0.27 
( 5,  4) 	 -0.27 	 -0.00 	 -0.27 	 -0.00 
( 5,  5) 	 -0.00 	 -0.00 	 -2.27 	 -0.27 
( 5,  6) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  7) 	 -0.00 	 -0.00 	 -2.54 	 -0.00 
( 5,  8) 	 -0.00 	 -0.54 	 -2.27 	 -0.27 
( 5,  9) 	 -0.00 	 -5.08 	 -0.27 	 -2.54 
( 6,  0) 	 -0.00 	 -0.00 	 -2.00 	 -2.54 
( 6,  1) 	 -0.00 	 -0.82 	 -0.54 	 -0.27 
( 6,  2) 	 -0.27 	 -5.09 	 -2.27 	 -0.27 
( 6,  3) 	 -0.27 	 -0.54 	 -0.27 	 -2.27 
( 6,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 6,  5) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 6,  6) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 6,  7) 	 -0.00 	 -0.00 	 -0.27 	 -0.00 
( 6,  8) 	 -0.00 	 -0.27 	 -0.27 	 -0.27 
( 6,  9) 	 -0.00 	 -2.81 	 -0.00 	 -2.54 
( 7,  0) 	 -0.00 	 -0.00 	 -0.54 	 -2.27 
( 7,  1) 	 -0.00 	 -0.82 	 -0.54 	 -0.81 
( 7,  2) 	 -0.00 	 -7.36 	 -0.54 	 -0.82 
( 7,  3) 	 -0.27 	 -0.82 	 -0.00 	 -2.54 
( 7,  4) 	 -0.00 	 -0.00 	 -0.00 	 -0.54 
( 7,  5) 	 -0.00 	 -0.00 	 -0.00 	 -2.27 
( 7,  6) 	 -0.00 	 -0.00 	 -0.00 	 -0.27 
( 7,  7) 	 -0.00 	 -0.00 	 -0.00 	 -0.00 
( 7,  8) 	 -0.00 	 -0.27 	 -0.00 	 -0.27 
( 7,  9) 	 -0.00 	 -2.54 	 -0.00 	 -2.54 
( 8,  0) 	 -0.00 	 -0.00 	 -2.54 	 -0.81 
( 8,  1) 	 -0.00 	 -1.09 	 -4.81 	 -4.54 
( 8,  2) 	 -0.27 	 -7.63 	 -2.82 	 -4.81 
( 8,  3) 	 -2.27 	 -0.82 	 -0.81 	 -2.81 
( 8,  4) 	 -0.54 	 -0.00 	 -0.27 	 -0.54 
( 8,  5) 	 -0.00 	 -0.00 	 -0.27 	 -2.54 
( 8,  6) 	 -0.00 	 -0.00 	 -0.27 	 -0.54 
( 8,  7) 	 -0.00 	 -0.00 	 -0.27 	 -0.27 
( 8,  8) 	 -0.00 	 -0.27 	 -0.27 	 -0.54 
( 8,  9) 	 -0.00 	 -2.54 	 -0.00 	 -2.54 
( 9,  0) 	 -0.00 	 -0.27 	 -0.54 	 -0.00 
( 9,  1) 	 -0.00 	 -2.81 	 -2.81 	 -0.54 
( 9,  2) 	 -0.27 	 -7.08 	 -3.08 	 -0.54 
( 9,  3) 	 -2.54 	 -0.81 	 -4.54 	 -0.27 
( 9,  4) 	 -2.27 	 -0.00 	 -2.81 	 -0.27 
( 9,  5) 	 -0.27 	 -0.00 	 -2.54 	 -2.54 
( 9,  6) 	 -0.00 	 -0.00 	 -2.54 	 -2.54 
( 9,  7) 	 -0.00 	 -0.00 	 -2.54 	 -2.54 
( 9,  8) 	 -0.00 	 -0.27 	 -2.27 	 -2.54 
( 9,  9) 	 -0.00 	 -2.27 	 -0.27 	 -2.54 
