State 	 Left 	 Up 	 Right 	 Down 
( 0,  0) 	 0.000000 	 0.000000 	 1.000335 	 4.775207 
( 0,  1) 	 0.000000 	 0.000000 	 0.000000 	 3.248306 
( 0,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 0,  3) 	 0.000000 	 -0.745415 	 0.000000 	 2.568536 
( 0,  4) 	 -0.849201 	 0.000000 	 0.000000 	 0.000000 
( 0,  5) 	 -0.488717 	 0.000000 	 14.605359 	 0.000000 
( 0,  6) 	 0.000000 	 0.000000 	 14.605121 	 0.000000 
( 0,  7) 	 3.667442 	 0.000000 	 13.705394 	 0.000000 
( 0,  8) 	 4.588746 	 0.000000 	 6.148936 	 11.753360 
( 0,  9) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  0) 	 0.000000 	 0.000000 	 0.000000 	 5.085675 
( 1,  1) 	 0.000000 	 0.000000 	 10.688743 	 1.513258 
( 1,  2) 	 2.064108 	 0.000000 	 11.048312 	 0.932323 
( 1,  3) 	 1.756911 	 0.000000 	 11.750091 	 0.000000 
( 1,  4) 	 0.000000 	 0.000000 	 12.353227 	 0.000000 
( 1,  5) 	 0.000000 	 10.535408 	 4.439279 	 0.000000 
( 1,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 1,  9) 	 11.769603 	 6.149540 	 0.000000 	 0.000000 
( 2,  0) 	 0.000000 	 0.000000 	 0.000000 	 5.427119 
( 2,  1) 	 0.000000 	 7.742620 	 0.000000 	 0.000000 
( 2,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  5) 	 0.000000 	 3.138476 	 0.000000 	 0.000000 
( 2,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  8) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 2,  9) 	 0.000000 	 13.715836 	 4.981219 	 0.000000 
( 3,  0) 	 0.000000 	 0.000000 	 0.000000 	 5.545258 
( 3,  1) 	 0.000000 	 7.341632 	 0.000000 	 0.000000 
( 3,  2) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  3) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  4) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  5) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  6) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
( 3,  7) 	 0.000000 	 0.000000 	 0.000000 	 0.000000 
